month,lse_tone_mean,lse_pos_sum,lse_neg_sum,lse_unc_sum,vader_compound_mean,tb_polarity_mean,speech_count,ftse250_close,ftse100_close,ftse250_mean_close,period,ftse100_mean_close,cpih_annual_rate
1999-09-01,-0.3582483979436483,259.0,554.0,566.0,0.9994333333333333,0.07335279710300859,3,5908.877272727273,6334.366666666667,5908.877272727273,Other,6334.366666666667,1.6
1999-10-01,-0.05349943341086658,246.0,252.0,182.0,0.9953,0.0871836998090982,3,5631.0142857142855,6264.975,5631.0142857142855,Other,6264.975,1.5
1999-11-01,-0.24521339406207826,169.0,416.0,189.0,0.8732,0.08843187258757369,2,5965.427272727273,6246.6125,5965.427272727273,Other,6246.6125,1.5
1999-12-01,-0.2294133654302764,221.0,384.0,332.0,0.997425,0.09737887976247611,4,6306.7300000000005,6270.666666666667,6306.7300000000005,Other,6270.666666666667,1.5
2000-01-01,-0.009451561421670118,185.0,190.0,112.0,0.9995333333333334,0.10910680985096237,3,6433.85,6418.371428571429,6433.85,Other,6418.371428571429,1.2
2000-01-01,-0.009451561421670118,185.0,190.0,112.0,0.9995333333333334,0.10910680985096237,3,6433.85,6418.371428571429,6433.85,Other,6418.371428571429,1.2
2000-02-01,0.0338837916456358,388.0,319.0,331.0,0.99978,0.10939241332942214,5,6227.490476190476,6400.357142857143,6227.490476190476,Other,6400.357142857143,1.2
2000-03-01,0.08257049623572357,401.0,285.0,249.0,0.999275,0.09595647839354611,4,6639.717391304348,6372.075,6639.717391304348,Other,6372.075,1.0
2000-04-01,-0.11986028979493031,167.0,213.0,151.0,0.9987666666666666,0.09722921375603888,3,6235.955555555555,6394.411111111111,6235.955555555555,Other,6394.411111111111,0.9
2000-05-01,-0.010044854355153357,233.0,263.0,234.0,0.999825,0.10745834391568847,4,6227.504761904762,6432.85,6227.504761904762,Other,6432.85,1.0
2000-06-01,0.15097311201708405,205.0,145.0,117.0,0.99955,0.1298217722042535,4,6514.695454545454,6469.188888888889,6514.695454545454,Other,6469.188888888889,1.2
2000-07-01,0.20751231527093594,89.0,51.0,47.0,0.9992000000000001,0.13239182973100344,2,6719.785714285715,6443.64,6719.785714285715,Other,6443.64,1.2
2000-08-01,0.08634086803100888,198.0,173.0,113.0,0.9996999999999999,0.12747202579460248,3,6855.468181818182,6391.8,6855.468181818182,Other,6391.8,1.0
2000-09-01,-0.0725438596491228,148.0,292.0,124.0,0.0018500000000000183,0.11819896971020821,2,6873.1238095238095,6362.3,6873.1238095238095,Other,6362.3,1.3
2000-10-01,0.28469626423590616,231.0,145.0,194.0,0.9991333333333333,0.1622447968582907,3,6549.054545454546,6399.066666666667,6549.054545454546,Other,6399.066666666667,1.4
2000-11-01,-0.09890926067396655,192.0,226.0,141.0,0.9972333333333333,0.09937951156067475,3,6661.709090909091,6363.055555555556,6661.709090909091,Other,6363.055555555556,1.5
2001-01-01,-0.05885153256704981,156.0,178.0,140.0,0.9996666666666667,0.10757329343238291,3,6640.090909090909,5614.528571428571,6640.090909090909,Other,5614.528571428571,1.2
2001-01-01,-0.05885153256704981,156.0,178.0,140.0,0.9996666666666667,0.10757329343238291,3,6640.090909090909,5614.528571428571,6640.090909090909,Other,5614.528571428571,1.6
2001-02-01,-0.20585413787271759,136.0,202.0,177.0,0.9989666666666667,0.09923376005833863,3,6720.57,5675.044444444445,6720.57,Other,5675.044444444445,1.2
2001-03-01,-0.08561523052318198,349.0,394.0,396.0,0.999125,0.09403840038575018,4,6299.231818181818,5476.85,6299.231818181818,Other,5476.85,1.3
2001-04-01,0.04654140339208513,131.0,137.0,148.0,0.9995666666666666,0.10405758986428236,3,6187.578947368421,5580.425,6187.578947368421,Other,5580.425,1.5
2001-05-01,-0.15774270677007834,444.0,604.0,343.0,0.6904166666666667,0.09937480910450654,6,6533.1238095238095,5638.71,6533.1238095238095,Other,5638.71,1.9
2001-06-01,-0.3022302233045003,229.0,491.0,253.0,0.33286666666666664,0.08643765705596591,3,6463.314285714286,5622.466666666666,6463.314285714286,Other,5622.466666666666,1.9
