month,lse_tone_mean,ftse250_mean_close,rolling_corr_12m
1998-09-01,-0.23300970873786409,4657.922727272728,
1998-10-01,-0.16207430340557274,4516.204545454545,
1998-11-01,-0.31265117662476705,4885.033333333333,
1998-12-01,-0.3408061690947153,4761.9400000000005,
1999-01-01,-0.28035714285714286,4904.9349999999995,
1999-01-01,-0.28035714285714286,4904.9349999999995,
1999-02-01,-0.07876646196696746,5192.545,
1999-03-01,0.04886778167802326,5430.795652173913,
1999-05-01,0.035593268324420745,5760.773684210526,
1999-06-01,0.1325021181672558,5829.072727272727,
1999-08-01,-0.42767662620603797,5996.571428571428,
1999-09-01,-0.3582483979436483,5908.877272727273,0.22161884193484604
1999-10-01,-0.05349943341086658,5631.0142857142855,0.23999125070167984
1999-11-01,-0.24521339406207826,5965.427272727273,0.22688807314437545
1999-12-01,-0.2294133654302764,6306.7300000000005,0.0952203003849535
2000-01-01,-0.009451561421670118,6433.85,0.06393895615781371
2000-01-01,-0.009451561421670118,6433.85,0.026025595195766173
2000-02-01,0.0338837916456358,6227.490476190476,-0.11814104801784268
2000-03-01,0.08257049623572357,6639.717391304348,0.04375960038147446
2000-04-01,-0.11986028979493031,6235.955555555555,0.19248324394192454
2000-05-01,-0.010044854355153357,6227.504761904762,0.3119966343547706
2000-06-01,0.15097311201708405,6514.695454545454,0.6012094634210934
2000-07-01,0.20751231527093594,6719.785714285715,0.6763575017369252
2000-08-01,0.08634086803100888,6855.468181818182,0.6315893133507244
2000-09-01,-0.0725438596491228,6873.1238095238095,0.6057390919819792
2000-10-01,0.28469626423590616,6549.054545454546,0.4031449662112313
2000-11-01,-0.09890926067396655,6661.709090909091,0.2274274185930894
2001-01-01,-0.05885153256704981,6640.090909090909,0.17408636360108293
2001-01-01,-0.05885153256704981,6640.090909090909,0.12911143492515326
2001-02-01,-0.20585413787271759,6720.57,0.04102581580682955
2001-03-01,-0.08561523052318198,6299.231818181818,0.10423405307460626
2001-04-01,0.04654140339208513,6187.578947368421,-0.05773359006737468
2001-05-01,-0.15774270677007834,6533.1238095238095,-0.055685383084622626
2001-06-01,-0.3022302233045003,6463.314285714286,0.08867255232321458
2001-07-01,-0.4649743067057375,6118.9047619047615,0.34587109906285163
2001-08-01,-0.1276595744680851,6145.857142857143,0.24818691215551156
2001-09-01,-0.20625057933322574,5407.6,0.26479618641954566
2001-10-01,-0.1945781718620371,5343.809523809524,0.2222379363255715
2001-11-01,-0.023792869036632136,5761.063636363636,0.09024593150971226
2001-12-01,-0.1875170905113481,5896.105263157895,0.034561678289994235
2002-01-01,0.2450592885375494,5975.040909090909,-0.09227394830141869
2002-01-01,0.2450592885375494,5975.040909090909,-0.04899708106896988
2002-02-01,0.01931729600843707,5790.705,-0.08068534844473753
2002-03-01,-0.2346553330928331,6072.469999999999,-0.14120314810164464
2002-04-01,-0.08761294840516853,6158.5199999999995,-0.11557140621555807
2002-05-01,-0.10879010695187166,6129.290909090909,0.04067849064830724
2002-06-01,0.026044020609238,5717.611111111111,0.2066523402260064
2002-09-01,-0.1411192214111922,4586.0952380952385,0.2909344729167765
2002-10-01,-0.1787037037037037,4295.608695652174,0.3387676745773838
2002-11-01,-0.08188383398289187,4483.7095238095235,0.3091918636440569
2002-12-01,-0.08333138261610654,4359.755,0.3064321556241654
2003-01-01,-0.13771929824561402,4265.428571428572,0.41860981867442687
2003-01-01,-0.13771929824561402,4265.428571428572,0.3749883308632422
2003-02-01,-0.27666666666666667,4053.3315789473686,0.38231322670905443
2003-03-01,-0.14506016644174538,3977.1809523809525,0.2927659272668801
2003-04-01,-0.45977011494252873,4203.04,0.49296381327357286
2003-06-01,0.31748021380038566,4984.771428571428,0.4492202825425975
2003-07-01,-0.5576923076923077,5151.952173913043,0.25195515040628086
2003-08-01,-0.2879089176240276,5458.085,-0.029579816851861996
2003-09-01,-0.4435146443514644,5646.227272727273,-0.21671109640358868
2003-10-01,0.02032115171650055,5704.939130434783,-0.04308036926113
2003-11-01,-0.27512046068868257,5731.5650000000005,-0.06318578764869023
2004-01-01,-0.16021241314842846,5993.133333333333,0.002649974268810234
2004-01-01,-0.16021241314842846,5993.133333333333,0.05675615788961233
2004-02-01,0.03773584905660377,6183.3099999999995,0.19956575799435894
2004-03-01,-0.28768567221909214,6249.156521739131,0.12275328651610534
2004-04-01,-0.15115562403697996,6308.8150000000005,0.22308625579086716
2004-06-01,0.29891304347826086,6150.813636363636,0.1034864779076603
2004-07-01,-0.14969741710693618,6069.504545454546,0.6157041304277595
2004-08-01,-0.359375,5956.761904761905,0.39597324650938126
2004-09-01,0.28242234772085517,6231.304545454546,0.4430150616123723
2004-10-01,-0.0583986562150056,6312.966666666666,0.2679715290565895
2004-11-01,-0.06283766718791141,6534.490909090909,0.3719701819857591
2004-12-01,-0.39106145251396646,6754.480952380953,-0.13418981454700318
2005-01-01,-0.11034635839105113,7040.055,-0.13863727480671334
2005-01-01,-0.11034635839105113,7040.055,-0.1673194900564282
2005-02-01,-0.12083191581048287,7285.225,-0.12855120927272726
2005-03-01,-0.05244158863861417,7218.200000000001,-0.1497359125654308
2005-05-01,-0.14946026977685872,6883.08,-0.18660545553783128
2005-06-01,-0.1167562724014337,7280.181818181818,-0.003586173399510602
2005-08-01,-0.15416666666666667,7686.618181818182,-0.06454227056097524
2005-09-01,-0.07892036124794746,7866.477272727273,-0.344868278255888
2005-10-01,-0.10442035210916878,7666.4047619047615,0.1051629543000282
2005-11-01,-0.05871806951423786,8115.354545454545,0.36374177323084744
2005-12-01,-0.1348314606741573,8579.256,0.41603477104696174
2006-01-01,-0.08241318446787418,8967.943333333333,0.2359099027938834
2006-01-01,-0.08241318446787418,8967.943333333333,0.30027331250329686
2006-02-01,-0.1935897435897436,9366.8455,-0.1323346740346478
2006-03-01,-0.13675,9681.899130434782,-0.22778701803761497
2006-04-01,-0.3586206896551724,9883.250555555556,-0.45680541842819655
2006-05-01,-0.09001623376623377,9583.132857142857,-0.45900919658142814
2006-06-01,-0.050378787878787884,9129.41909090909,-0.4260431273501286
2006-07-01,0.013019427954668095,9284.642857142857,-0.40172855442316135
2006-08-01,-0.27631578947368424,9410.009545454544,-0.4247410291288395
2006-09-01,-0.2310641998734978,9755.73380952381,-0.545758855067034
2006-10-01,-0.12728128204192274,10272.568181818182,-0.40094861028736584
2006-11-01,-0.04316372715175245,10616.833181818183,-0.1572062587363021
2006-12-01,-0.2257104174272849,10993.71157894737,-0.2185287940724333
2007-01-01,0.034198837996306346,11158.678636363637,0.14711439432155998
2007-01-01,0.034198837996306346,11158.678636363637,0.27060766690176613
2007-02-01,-0.15217215762273903,11467.337,0.2019731932256017
2007-03-01,0.005627142466659352,11369.423636363637,0.24230071020332558
2007-04-01,-0.4240506329113924,11902.105263157895,-0.1253263638390486
2007-05-01,-0.14850235196458217,12097.837142857144,-0.07524981747723782
2007-06-01,0.031317466558518275,11730.268095238096,0.1847205192798392
2007-07-01,-0.027142795688612303,11642.255454545455,0.027887448285497208
2007-09-01,-0.24912807318467697,11089.73,-0.1628842215787469
2007-10-01,-0.33554004909025403,11411.31347826087,-0.2249896617363382
2007-11-01,-0.20231021494902268,10814.084090909091,-0.07743854549556803
2007-12-01,-0.2774566473988439,10480.522631578948,0.04926059235662699
2008-01-01,-0.4935330156569095,9880.499090909092,0.44043375417169545
2008-01-01,-0.4935330156569095,9880.499090909092,0.618959926088176
2008-02-01,-0.18780126022783264,10079.410476190476,0.5348197595647092
2008-03-01,-0.11285803237858032,9809.285789473684,0.37594722737714376
2008-04-01,-0.2692737545826714,10096.67909090909,0.5675557973371625
2008-06-01,-0.25037430694644447,9553.703333333335,0.5338657392022663
2008-07-01,-0.11169334305931614,8716.34,0.1017233501184124
2008-09-01,-0.3833758881184307,8746.298181818182,-0.0449939750046416
2008-10-01,-0.4564402384389791,6706.872173913043,0.23606852387787516
2008-11-01,-0.36535738936791706,6147.33,0.3272811869985698
2008-12-01,-0.08040201005025126,6158.3909523809525,-0.02565187295159726
2009-01-01,-0.47260304869373915,6411.688095238096,0.10080796569346898
2009-01-01,-0.47260304869373915,6411.688095238096,0.3088384469748194
2009-02-01,-0.42908937399128727,6268.8910000000005,0.5263146109507891
2009-03-01,-0.356075690309701,6147.399090909091,0.48985429888520415
2009-04-01,-0.36076762246117083,7070.8725,0.37686351456082473
2009-05-01,-0.2590565676420432,7613.05894736842,0.3699432537452744
2009-06-01,-0.18787489593883736,7516.076818181818,0.35622230261282956
2009-07-01,-0.3068879094287443,7575.779130434783,0.12690744542337407
2009-08-01,-0.3679060665362035,8487.2305,0.1706031173912761
2009-09-01,-0.19918597751897513,9071.063181818181,0.31848265722615776
2009-10-01,-0.418348217539804,9252.195,0.11815652388467103
2009-11-01,-0.38166673216044217,9152.50857142857,0.3565514977964196
2009-12-01,-0.29151119433905553,9124.200476190475,0.30048737869824804
2010-01-01,-0.35258654820709956,9480.3625,0.09782087478739883
2010-01-01,-0.35258654820709956,9480.3625,-0.16212008670681052
2010-02-01,-0.3236466595963397,9245.0905,-0.33490614395193535
2010-03-01,-0.2956237086715714,9924.916086956522,-0.45068770476596387
2010-04-01,-0.37037037037037035,10449.628,-0.44677649169605566
