month,ftse250_mean_close,ftse100_mean_close,ftse250_norm,ftse100_norm
1998-09-01,4657.922727272728,5589.08,100.0,100.0
1998-10-01,4516.204545454545,5646.9625,96.95748104646724,101.03563556077206
1998-11-01,4885.033333333333,5611.05,104.87579162124877,100.39308795007406
1998-12-01,4761.9400000000005,5511.425,102.2331257690953,98.61059423017741
1999-01-01,4904.9349999999995,6257.677777777778,105.3030564736719,111.96257304919195
1999-01-01,4904.9349999999995,6257.677777777778,105.3030564736719,111.96257304919195
1999-02-01,5192.545,6282.25,111.47769733484397,112.40222004337028
1999-03-01,5430.795652173913,6277.557142857143,116.59265235071241,112.31825529169637
1999-05-01,5760.773684210526,6194.425,123.67688391394873,110.83085230485162
1999-06-01,5829.072727272727,6359.9375,125.14318224179135,113.79220730424329
1999-08-01,5996.571428571428,6306.43,128.73917794858946,112.83484938487194
1999-09-01,5908.877272727273,6334.366666666667,126.85648987111891,113.33469312778968
1999-10-01,5631.0142857142855,6264.975,120.89110565840828,112.0931351850394
1999-11-01,5965.427272727273,6246.6125,128.07055037214207,111.76459274156034
1999-12-01,6306.7300000000005,6270.666666666667,135.397909524632,112.19497066899503
2000-01-01,6433.85,6418.371428571429,138.12702306822297,114.83770904283762
2000-01-01,6433.85,6418.371428571429,138.12702306822297,114.83770904283762
2000-02-01,6227.490476190476,6400.357142857143,133.69673223060852,114.5153968606129
2000-03-01,6639.717391304348,6372.075,142.54674841271972,114.0093718465293
2000-04-01,6235.955555555555,6394.411111111111,133.87846730567782,114.40901026843615
2000-05-01,6227.504761904762,6432.85,133.69703892771628,115.09676011078747
2000-06-01,6514.695454545454,6469.188888888889,139.86267776408326,115.74693668526643
2000-07-01,6719.785714285715,6443.64,144.26571902836682,115.28981513952208
2000-08-01,6855.468181818182,6391.8,147.17865845387576,114.3622921840446
2000-09-01,6873.1238095238095,6362.3,147.557703550572,113.83447723059967
2000-10-01,6549.054545454546,6399.066666666667,140.60032613055176,114.49230761890448
2000-11-01,6661.709090909091,6363.055555555556,143.01888375914743,113.84799565501935
2001-01-01,6640.090909090909,5614.528571428571,142.5547673904579,100.45532666250207
2001-01-01,6640.090909090909,5614.528571428571,142.5547673904579,100.45532666250207
2001-02-01,6720.57,5675.044444444445,144.28255669958224,101.53807861838521
2001-03-01,6299.231818181818,5476.85,135.23693257724133,97.99197721270765
2001-04-01,6187.578947368421,5580.425,132.8398796987198,99.84514446026895
2001-05-01,6533.1238095238095,5638.71,140.2583123861532,100.8879815640499
2001-06-01,6463.314285714286,5622.466666666666,138.75958585295461,100.59735531906264
2001-07-01,6118.9047619047615,5609.0,131.36552751461073,100.35640928381773
2001-08-01,6145.857142857143,5747.9,131.94416272456326,102.84161257308895
2001-09-01,5407.6,5650.455555555555,116.09466959032655,101.09813342366823
2001-10-01,5343.809523809524,5511.7375,114.72516477185938,98.61618549027747
2001-11-01,5761.063636363636,5515.4875,123.68310883802083,98.6832806114781
2001-12-01,5896.105263157895,5557.9400000000005,126.58229018346422,99.44284211355
2002-01-01,5975.040909090909,4572.7,128.27694358487932,81.81489619042847
2002-01-01,5975.040909090909,4572.7,128.27694358487932,81.81489619042847
2002-02-01,5790.705,4563.3125,124.31947327281082,81.64693473702292
2002-03-01,6072.469999999999,4592.371428571429,130.36862901234747,82.16685802621234
2002-04-01,6158.5199999999995,4604.955555555555,132.2160190408717,82.39201363293343
2002-05-01,6129.290909090909,4592.722222222223,131.58850560579577,82.17313443755006
2002-06-01,5717.611111111111,4518.9,122.75023537066801,80.85230485160348
2002-09-01,4586.0952380952385,4526.2125,98.45795017686896,80.9831403379447
2002-10-01,4295.608695652174,4602.1375,92.22155340836466,82.3415928918534
2002-11-01,4483.7095238095235,4607.61,96.2598520056341,82.43950703872551
2002-12-01,4359.755,4550.200000000001,93.59869742950183,81.41232546322473
2003-01-01,4265.428571428572,4058.6857142857143,91.57362243160341,72.61813597740084
2003-01-01,4265.428571428572,4058.6857142857143,91.57362243160341,72.61813597740084
2003-02-01,4053.3315789473686,4080.5125,87.02015504067079,73.00866153284619
2003-03-01,3977.1809523809525,4055.13,85.38529265618887,72.55451702247954
2003-04-01,4203.04,4026.1444444444446,90.23421482264334,72.03590652566156
2003-06-01,4984.771428571428,3996.9625,107.01704859518087,71.51378223249623
2003-07-01,5151.952173913043,3977.3555555555554,110.6062181699089,71.1629741487965
2003-08-01,5458.085,4108.05,117.17852183425501,73.5013633728628
2003-09-01,5646.227272727273,4113.25,121.2177101966054,73.59440194092767
2003-10-01,5704.939130434783,4017.46,122.4781831830666,71.88052416497885
2003-11-01,5731.5650000000005,4025.9444444444443,123.04980858615282,72.0323281191975
2004-01-01,5993.133333333333,4545.775,128.6653661779913,81.33315322020798
2004-01-01,5993.133333333333,4545.775,128.6653661779913,81.33315322020798
2004-02-01,6183.3099999999995,4510.62,132.748230531948,80.7041588239925
2004-03-01,6249.156521739131,4542.571428571428,134.1618761760372,81.27583481666801
2004-04-01,6308.8150000000005,4539.628571428571,135.44267196750795,81.22318112155438
2004-06-01,6150.813636363636,4510.933333333333,132.0505726801744,80.7097649941195
2004-07-01,6069.504545454546,4535.3875,130.3049642690899,81.14729973448223
2004-08-01,5956.761904761905,4566.822222222222,127.88451534166312,81.70973080045772
2004-09-01,6231.304545454546,4509.322222222222,133.77861571145155,80.6809389420481
2004-10-01,6312.966666666666,4519.4875,135.53180325863815,80.86281642059159
2004-11-01,6534.490909090909,4507.785714285715,140.28766236997959,80.65344769238791
2004-12-01,6754.480952380953,4479.6875,145.01058407071915,80.15071353424894
2005-01-01,7040.055,5160.266666666666,151.14151548241853,92.32765798068138
2005-01-01,7040.055,5160.266666666666,151.14151548241853,92.32765798068138
2005-02-01,7285.225,5207.857142857143,156.40502057589075,93.17914831881353
2005-03-01,7218.200000000001,5149.914285714286,154.96607442061082,92.1424328460907
2005-05-01,6883.08,5179.0,147.77145098819898,92.66283538614584
2005-06-01,7280.181818181818,5146.375,156.2967495264666,92.07910783170038
2005-08-01,7686.618181818182,5211.444444444444,165.02244953124833,93.24333243475571
2005-09-01,7866.477272727273,5198.27375,168.8838079401372,93.00768194407667
2005-10-01,7666.4047619047615,5112.6375,164.58849171148742,91.47547539129874
2005-11-01,8115.354545454545,5126.700000000001,174.22690372122568,91.72708209580111
2005-12-01,8579.256,5175.6,184.18631012849073,92.60200247625728
2006-01-01,8967.943333333333,5913.7699999999995,192.53095979512258,105.80936397403508
2006-01-01,8967.943333333333,5913.7699999999995,192.53095979512258,105.80936397403508
2006-02-01,9366.8455,5923.74,201.09490965051725,105.98774753626714
2006-03-01,9681.899130434782,5904.64,207.85873225732226,105.64600971895197
2006-04-01,9883.250555555556,5941.57125,212.1815052381155,106.30678483757615
2006-05-01,9583.132857142857,5936.04875,205.73833913199974,106.207976089088
2006-06-01,9129.41909090909,5925.273999999999,195.9976501425235,106.01519391384629
2006-07-01,9284.642857142857,5920.872222222222,199.33011775356636,105.9364371635801
2006-08-01,9410.009545454544,5907.095,202.02158980349213,105.68993465829797
2006-09-01,9755.73380952381,5909.9725,209.4438740342933,105.74141898129925
2006-10-01,10272.568181818182,5945.837777777778,220.53968653603877,106.38312169047101
2006-11-01,10616.833181818183,5943.93375,227.93064212197595,106.34905476393253
2006-12-01,10993.71157894737,5912.8325,236.02176812804979,105.79259019373492
2007-01-01,11158.678636363637,6405.342857142858,239.56341248488644,114.60460142175202
2007-01-01,11158.678636363637,6405.342857142858,239.56341248488644,114.60460142175202
2007-02-01,11467.337,6384.428888888889,246.18993640356655,114.23040802580906
2007-03-01,11369.423636363637,6415.49625,244.08785422296128,114.78626625491137
2007-04-01,11902.105263157895,6479.06,255.52388822316786,115.9235509243024
2007-05-01,12097.837142857144,6408.364,259.726016321026,114.65865580739585
2007-06-01,11730.268095238096,6395.05875,251.83475085483687,114.42059784436796
2007-07-01,11642.255454545455,6353.011428571429,249.94522529063383,113.6682858103915
2007-09-01,11089.73,6409.73375,238.0831681699704,114.6831634186664
2007-10-01,11411.31347826087,6388.0325,244.98717875773644,114.29488395227838
2007-11-01,10814.084090909091,6491.7225,232.16538195430462,116.15010878355652
2007-12-01,10480.522631578948,6439.485,225.00421851599555,115.21547374523178
2008-01-01,9880.499090909092,5428.94375,212.1224346006755,97.13483703936964
2008-01-01,9880.499090909092,5428.94375,212.1224346006755,97.13483703936964
2008-02-01,10079.410476190476,5574.485,216.3928228601615,99.73886578828716
2008-03-01,9809.285789473684,5424.085555555556,210.59357064983226,97.04791406735198
2008-04-01,10096.67909090909,5495.780000000001,216.76355925339328,98.33067338452841
2008-06-01,9553.703333333335,5444.495714285715,205.10652264356364,97.41309328701172
2008-07-01,8716.34,5555.095555555556,187.12933877079422,99.39194922161708
