period,n_months,tone_mean,tone_std,ftse250_mean,ftse250_std
Pre-Brexit (benign),131,-0.2348862219112377,0.12570565886021673,11626.830719328784,3219.6343605303405
Other,68,-0.11486457070453807,0.1951876802963503,5774.904610579722,770.5776173782251
Brexit vote & aftermath (exciting),41,-0.0678591417039466,0.12958279920230395,19271.10814337943,1140.7106804304617
COVID shock (exciting),23,-0.22219502992650747,0.16366292445330588,20152.266937951295,2664.4883754084026
Inflation surge (exciting),9,-0.2341250792737144,0.09507317666868818,20010.040516460234,1616.037203481331
